Country,WomensOrg,Government,Press,Police,ArmedForces,PoliticalParties,MajorCompanies,EnvironmentalOrg
Argentina,32.6,26,32.6,22.2,22.3,8.2,28,61.2
Australia,40.8,25.8,16.6,75.2,66,15.5,56.3,54.3
Brazil,66.2,48.2,60.9,44.9,69.9,32.3,66.9,78.3
Chile,47.2,51.9,51.1,50.1,54.9,24.8,54.2,74.8
China,58.6,0,41.8,52.4,63.2,12,47,49.2
Colombia,47.5,0,23.6,70.4,50,13.5,63.6,70.8
Germany,46.5,23.5,52.1,35.7,73.5,39.4,25.1,69
Ghana,0,0,0,0,0,0,0,0
India,39.8,48.3,71.6,76.3,59.5,17.2,48.4,41.6
Iraq,0,0,0,0,0,0,0,0
Japan,37,30,64.6,47.2,70.4,24.8,32.2,56.6
South Korea,76.3,43.8,51,33.1,59.1,33.3,34.4,84.4
Malaysia,0,0,0,0,0,0,0,0
Mexico,43,41.5,32.1,78.3,57.1,5.7,51.1,55.4
Morocco,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0
New Zealand,30.9,15.2,53.9,16.4,97,33.1,40,41.7
Pakistan,0,0,0,0,0,0,0,0
Peru,30.5,37,28.4,21.1,40.5,6,28.4,42.5
Poland,41.3,36.2,43.1,51.3,75.1,11,41.9,69.1
Qatar,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0
Slovenia,39.9,39.4,42.2,46.2,43.5,13.1,37.9,53.5
South Africa,46.2,62.9,48.8,73.7,53,42.5,65.6,34.1
Spain,39.1,30.1,41.7,60.5,42.1,17.9,43.9,58.6
Thailand,0,0,0,0,0,0,0,0
Sweden,45.4,41.4,28.5,80.2,53.3,27.7,60.8,72
Turkey,68,50.4,47.9,71.1,93,28.3,57.3,73.2
Egypt,0,0,0,0,0,0,0,0
United States,48,29.7,26.8,69,85.2,20.3,49.7,44.2
