Country,WomensOrg,Government,Press,Police,ArmedForces,PoliticalParties,MajorCompanies,EnvironmentalOrg
Argentina,30.6,36.9,35.3,21.1,30.5,7.6,24,55
Australia,59.4,38.9,11.3,82,82.5,13.6,29.1,58
Brazil,64.5,45.9,43,44.5,69.1,20.8,56.8,66.6
Chile,51.5,45.9,44.2,56.4,57.5,17.4,34.8,56.1
China,61,87.6,59.6,74.4,82,74.7,41.3,57
Colombia,39.3,50.3,43.9,49.2,59.9,19,45.2,50.3
Germany,49.9,22.7,28.7,72.7,46.3,12.4,25.1,55
Ghana,63.7,70.8,53.9,54.2,75.6,40.1,55,58.7
India,41.4,44,63,56.1,70.5,37,33.6,38.7
Iraq,0,56.6,0,0,59.2,0,0,0
Japan,32.5,29.1,72.5,65.2,69.9,16.8,36.2,50.1
South Korea,68.4,45.6,64.2,58.6,52,24.2,50.2,71.7
Malaysia,69.8,75.4,63.7,74.6,84.5,58.3,54.3,66.6
Mexico,63,43.9,49.1,33.1,62.5,23.5,45.6,61.7
Morocco,47.9,52.5,44.3,59.5,66,32.9,41,50.3
Netherlands,39.2,26.7,31.9,58.8,42.3,22.5,30.9,53
New Zealand,31.5,37.6,25,72.4,66.6,13.4,35,43.2
Pakistan,0,0,0,0,0,0,0,0
Peru,46.7,11.5,18.3,15.7,21.9,4.5,18.5,43.3
Poland,43.4,16.6,35.9,45.3,63.6,6.5,23.5,51.6
Qatar,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0
Slovenia,34.4,22.9,27.2,37.1,36,8.4,27.6,38
South Africa,62.8,69.4,57.4,61,61.2,42.2,63.3,57.4
Spain,54.1,44.2,40.5,62.8,51.4,27.6,32,56.8
Sweden,45.9,42,32.8,77.5,45.7,32.6,49.5,73
Thailand,38.7,38.5,43.8,43.3,51.3,23.2,24.6,31
Turkey,57.9,61.7,30.5,70.7,85.1,32.9,45,51.6
Egypt,44.8,0,61.4,0,0,0,44.6,48.1
United States,49.4,36.8,23.1,68.1,79.8,14.7,25.6,51.4
